Pocket Set	Molecule name	Average docking ranking	# of heavy atoms
AF2-LIG	Chembridge 7916788	86.37722419928825	21
AF2-LIG	Asinex ASN 03798095	71.79928825622775	27
AF2-LIG	Life Chemicals F1895-0070	65.04341637010675	30
AF2-LIG	Asinex BAS 05101595	61.58078291814947	30
AF2-LIG	InterBioScreen STOCK4S-15128	75.86476868327402	30
AF2-LIG	Asinex ASN 05588575	54.890391459074735	30
AF2-LIG	Biofocus 170_4347_0164	63.580071174377224	23
AF2-LIG	InterBioScreen STOCK5S-06824	61.50177935943061	24
AF2-LIG	Biofocus 119_0552_0135	84.92597864768683	30
AF2-LIG	Cerep CER0099275	52.22419928825623	29
AF2-LIG	Chemical Block A3816/0161993	75.61565836298932	26
AF2-LIG	Biofocus 170_0148_0349	49.52099644128114	29
AF2-LIG	Life Chemicals F0631-0161	47.69608540925267	26
AF2-LIG	Chembridge 9001855	70.80355871886121	32
AF2-LIG	Maybridge HTS 07015	63.982918149466194	25
AF2-LIG	Tripos 1554-03007	64.18220640569395	21
AF2-LIG	Asinex ASN 06116813	74.47544483985764	33
AF2-LIG	Tripos 1559-05871	56.012811387900356	19
AF2-LIG	Specs AN-648/40682295	67.35088967971531	21
AF2-LIG	ASDI 150016433	48.783629893238434	10
AF2-LIG	Tripos 1557-01752	55.14448398576513	24
AF2-LIG	Tripos 1518-06794	74.53665480427047	28
AF2-LIG	InterBioScreen STOCK5S-48304	61.63060498220641	33
AF2-LIG	Chem T&I PMOS-0027433	46.09252669039146	33
AF2-LIG	Lithuania 1067744	65.02989323843417	28
AF2-LIG	Maybridge HTS 06299	56.220640569395016	24
AF2-LIG	InterBioScreen STOCK5S-05837	76.8049822064057	31
AF2-LIG	Life Chemicals F1608-0478	69.69039145907473	28
AF2-LIG	Chemdiv 1416-0529	74.8220640569395	28
AF2-LIG	Chemical Block A3577/0151844	58.854092526690394	25
AF2-LIG	Comgenex CGX-0740668	54.13950177935943	29
AF2-LIG	Asinex ASN 06745065	82.08683274021352	22
AF2-LIG	Life Chemicals F0497-0082	84.64982206405693	30
AF2-LIG	InnovaPharm STT-00192300	63.838434163701066	26
AF2-LIG	Tripos 1534-05651	53.537366548042705	27
AF2-LIG	Chembridge 5859646	84.7017793594306	25
AF2-LIG	Specs AK-968/37053096	77.40071174377225	24
AF2-LIG	InterBioScreen STOCK3S-07953	55.57864768683274	24
AF2-LIG	Maybridge RJF 01152	71.04199288256228	21
AF2-LIG	Tripos 1518-03381	61.02562277580071	27
AF2-LIG	Specs AG-205/07903010	58.22562277580071	26
AF2-LIG	Asinex ASN 04479736	63.30818505338078	28
AF2-LIG	Asinex ASN 05110337	58.68256227758007	32
AF2-LIG	Chem T&I AMCLME-05084	61.45266903914591	22
AF2-LIG	Bionet 10W-0283	59.992170818505336	20
AF2-LIG	ASDI 100018405	55.71672597864769	19
PDB-PD	Enamine T0505-3993	75.55491570110317	26
PDB-PD	Chem T&I AMSACS-17229	60.754457781169776	22
PDB-PD	Chemical Block A3692/0156694	68.55241795601194	25
PDB-PD	Life Chemicals F0778-0231	59.61673489211129	30
PDB-PD	Princeton Biomolecular OSSK_459353	86.30715326441407	26
PDB-PD	Toslab 44086	57.33691806008465	23
PDB-PD	Specs AM-900/15051004	70.13578019843197	28
PDB-PD	Life Chemicals F2584-0097	60.9780059668355	26
PDB-PD	Asinex ASN 06235439	68.50953999861237	28
PDB-PD	Specs AA-504/36954121	66.94726982585166	28
PDB-PD	Specs AP-866/42442546	65.30201901061541	25
PDB-PD	EMC Microcollections 009B3204	75.72538680358011	28
PDB-PD	Chembridge 9014479	62.28890584888642	23
PDB-PD	Chem T&I NSB 0071574	73.58343162422813	30
PDB-PD	Chem T&I AMSACS-12929	59.52889752306945	21
PDB-PD	Life Chemicals F0396-0052	55.52404079650316	27
PDB-PD	Chem T&I AMSACS-08712	67.7921321029626	23
PDB-PD	Life Chemicals F0560-0107	39.86845209186151	28
PDB-PD	Chemdiv 8005-4355	77.23326163879831	28
PDB-PD	InterBioScreen STOCK5S-70232	59.36127107472421	29
PDB-PD	Chembridge 5707467	64.92104350239367	28
PDB-PD	Asinex ASN 04371767	68.96815375008673	30
PDB-PD	A-Synthese-Biotech EX-14747	56.027058905155066	31
PDB-PD	InterBioScreen STOCK3S-81928	63.59987511274544	29
PDB-PD	Nanosyn NS61821	58.6228404912232	29
PDB-PD	Asinex ASN 05317597	72.35960591133005	29
PDB-PD	Chem T&I AMSACS-11579	79.38111427183793	20
PDB-PD	Bionet 8K-348S	71.06535766322071	28
PDB-PD	InterBioScreen STOCK5S-22526	73.20967182404773	26
PDB-PD	Asinex ASN 05343028	76.69971553458683	27
PDB-PD	Asinex ASN 03365236	53.165128703254005	28
PDB-PD	Life Chemicals F0566-0293	67.74987858183584	29
PDB-PD	EMC Microcollections 001A3586	60.352182057864425	30
PDB-PD	Chem T&I AMSACS-01505	61.95399986123638	25
PDB-PD	Chem T&I ARAK0118211	68.59245125927981	26
PDB-PD	Chembridge 7634772	60.61624921945466	30
PDB-PD	Chem T&I IVK/0000805	57.09123707763824	25
PDB-PD	InterBioScreen STOCK5S-68320	69.69194477208076	29
PDB-PD	InterBioScreen STOCK3S-83770	53.43439950045098	29
PDB-PD	Life Chemicals F0529-0304	71.46208284187885	24
PDB-PD	Chem T&I AMSACS-12205	52.81093457295497	25
PDB-PD	Nanosyn NS40942	59.26982585166169	27
PDB-PD	Comgenex CGX-3127127	66.13258863525984	29
PDB-PD	Pharmeks PHAR059863	73.5767709706515	24
PDB-PD	Lithuania 1050567	44.45278567959481	27
PDB-PD	Chem T&I AMCLME-04601	57.60133213071533	27
PDB-PD	InterBioScreen STOCK4S-52524	52.032678831610355	31
PDB-PD	Cerep CER0136666	80.83501006036218	28
PDB-PD	Asinex BAS 02903336	64.81801151738014	30
PDB-PD	Life Chemicals F0417-0114	61.08429889682925	27
PDB-PD	Life Chemicals F1359-1195	68.36585027405815	27
PDB-PD	Pyxis Discovery PYX 00003417	48.27447443280372	32
PDB-PD	Asinex ASN 09961559	50.432387428016376	27
PDB-PD	Pyxis Discovery PYX 00004219	68.7301741483383	30
PDB-PD	Asinex ASN 03271999	86.56830639006452	28
PDB-PD	InterBioScreen STOCK4S-65808	89.94171928120447	23
PDB-PD	Life Chemicals F0579-0521	59.95212655241796	29
PDB-PD	Chem T&I UZI/1102918	59.88468743495456	26
PDB-PD	Asinex ASN 06916822	52.821758135017	29
PDB-PD	Asinex ASN 04361294	62.610282383958925	25
PDB-PD	Tripos 1557-10610	86.59709984042185	24
PDB-PD	Maybridge ML 00307	63.756053562755845	20
PDB-PD	Bionet 10X-0864	61.20356622493582	24
PDB-PD	Tripos 1526-22023	85.95823215152987	24
PDB-PD	InterBioScreen STOCK5S-13559	61.88857281620759	25
PDB-PD	Otava 0120630218	80.57295497120656	21
PDB-PD	Asinex ASN 02617640	64.04766530215777	27
PDB-PD	Chem T&I AMSACS-08601	68.68001110108929	24
PDB-PD	Tripos 1557-13590	77.66960382987581	26
PDB-PD	EMC Microcollections 013A0485	73.08582529660723	21
PDB-PD	Asinex ASN 06601079	59.26649552487338	29
PDB-PD	Cerep CER0116166	47.475820439880664	26
PDB-PD	Tripos 1554-07659	89.64747103309512	24
PDB-PD	Princeton Biomolecular OSSK_115610	77.85991812946645	21
PDB-PD	Pyxis Discovery PYX 00000172	63.824672170956774	24
PDB-PD	Chem T&I IVK/0000448	83.86539929230555	26
PDB-PD	Life Chemicals F0577-0037	47.42350655658086	28
PDB-PD	Life Chemicals F0642-0697	53.45410393394852	23
PDB-PD	Chem T&I AMSACS-26179	48.95018386179144	20
PDB-PD	Tripos 1527-02989	62.63616179837646	20
PDB-PD	Enamine T0503-9700	49.84500104072712	24
PDB-PD	Tripos 1513-09513	69.68438215499896	27
PDB-PD	Chembridge 7916788	93.97980989384584	21
PDB-PD	Asinex ASN 03798095	55.60535627558454	27
PDB-PD	Life Chemicals F1895-0070	58.013113161728995	30
PDB-PD	Asinex BAS 05101595	58.28162075903698	30
PDB-PD	InterBioScreen STOCK4S-15128	74.70373967945605	30
PDB-PD	Asinex ASN 05588575	51.053979046693954	30
PDB-PD	Biofocus 170_4347_0164	68.51314785263304	23
PDB-PD	InterBioScreen STOCK5S-06824	63.317629917435646	24
PDB-PD	Biofocus 119_0552_0135	83.36113231110802	30
PDB-PD	Cerep CER0099275	54.970304586137516	29
PDB-PD	Chemical Block A3816/0161993	69.68181502809963	26
PDB-PD	Biofocus 170_0148_0349	40.6393533615486	29
PDB-PD	Life Chemicals F0631-0161	38.330534933740374	26
PDB-PD	Chembridge 9001855	68.52889752306945	32
PDB-PD	Maybridge HTS 07015	73.81683202664262	25
PDB-PD	Tripos 1554-03007	66.94296815375009	21
PDB-PD	Asinex ASN 06116813	68.26795254284326	33
PDB-PD	Tripos 1559-05871	53.82488031638105	19
PDB-PD	Specs AN-648/40682295	70.83799347811004	21
PDB-PD	ASDI 150016433	56.97321862207729	10
PDB-PD	Tripos 1557-01752	54.40137375980018	24
PDB-PD	Tripos 1518-06794	69.34843544022758	28
