Compound Type	Standard Deviation	Docking Strategy
LLM (1000)	0.22726	rDock
LLM (1000)	0.18691	rDock
LLM (1000)	0.12781	rDock
LLM (1000)	0.21097	rDock
LLM (1000)	0.17873	rDock
LLM (1000)	0.25616	rDock
LLM (1000)	0.18959	rDock
LLM (1000)	0.18057	rDock
LLM (1000)	0.16207	rDock
LLM (1000)	0.19643	rDock
LLM (1000)	0.20338	rDock
LLM (1000)	0.22433	rDock
LLM (1000)	0.24604	rDock
LLM (1000)	0.16197	rDock
LLM (1000)	0.18212	rDock
LLM (1000)	0.09377	rDock
LLM (1000)	0.16032	rDock
LLM (1000)	0.25836	rDock
LLM (1000)	0.20918	rDock
LLM (1000)	0.26023	rDock
LLM (1000)	0.15178	rDock
LLM (1000)	0.23293	rDock
LLM (1000)	0.18084	rDock
LLM (1000)	0.26953	rDock
LLM (1000)	0.16967	rDock
LLM (1000)	0.13	rDock
LLM (1000)	0.17584	rDock
LLM (1000)	0.12682	rDock
LLM (1000)	0.20499	rDock
LLM (1000)	0.13443	rDock
LLM (1000)	0.20158	rDock
LLM (1000)	0.22638	rDock
LLM (1000)	0.22845	rDock
LLM (1000)	0.21218	rDock
LLM (1000)	0.09778	rDock
LLM (1000)	0.20454	rDock
LLM (1000)	0.23128	rDock
LLM (1000)	0.22281	rDock
LLM (1000)	0.24317	rDock
LLM (1000)	0.20616	rDock
LLM (1000)	0.25026	rDock
LLM (1000)	0.26357	rDock
LLM (1000)	0.11309	rDock
LLM (1000)	0.14922	rDock
LLM (1000)	0.27652	rDock
LLM (1000)	0.20462	rDock
LLM (1000)	0.25093	rDock
LLM (1000)	0.12354	rDock
LLM (1000)	0.20427	rDock
LLM (1000)	0.23332	rDock
LLM (1000)	0.21252	rDock
LLM (1000)	0.24549	rDock
LLM (1000)	0.22049	rDock
LLM (1000)	0.24283	rDock
LLM (1000)	0.1163	rDock
LLM (1000)	0.19466	rDock
LLM (1000)	0.23813	rDock
LLM (1000)	0.24333	rDock
LLM (1000)	0.23344	rDock
LLM (1000)	0.23114	rDock
LLM (1000)	0.19751	rDock
LLM (1000)	0.11085	rDock
LLM (1000)	0.23097	rDock
LLM (1000)	0.23547	rDock
LLM (1000)	0.28008	rDock
LLM (1000)	0.17512	rDock
LLM (1000)	0.24818	rDock
LLM (1000)	0.23194	rDock
LLM (1000)	0.30936	rDock
LLM (1000)	0.16772	rDock
LLM (1000)	0.1943	rDock
LLM (1000)	0.14994	rDock
LLM (1000)	0.17047	rDock
LLM (1000)	0.23343	rDock
LLM (1000)	0.21982	rDock
LLM (1000)	0.25428	rDock
LLM (1000)	0.24635	rDock
LLM (1000)	0.22383	rDock
LLM (1000)	0.15501	rDock
LLM (1000)	0.18604	rDock
LLM (1000)	0.18973	rDock
LLM (1000)	0.26686	rDock
LLM (1000)	0.15677	rDock
LLM (1000)	0.28611	rDock
LLM (1000)	0.14326	rDock
LLM (1000)	0.20551	rDock
LLM (1000)	0.08417	rDock
LLM (1000)	0.21544	rDock
LLM (1000)	0.25287	rDock
LLM (1000)	0.2726	rDock
LLM (1000)	0.19395	rDock
LLM (1000)	0.23475	rDock
LLM (1000)	0.23699	rDock
LLM (1000)	0.18912	rDock
LLM (1000)	0.22093	rDock
LLM (1000)	0.20188	rDock
LLM (1000)	0.26478	rDock
LLM (1000)	0.2546	rDock
LLM (1000)	0.22706	rDock
LLM (1000)	0.10749	rDock
LLM (1000)	0.19183	rDock
LLM (1000)	0.18563	rDock
LLM (1000)	0.15834	rDock
LLM (1000)	0.19445	rDock
LLM (1000)	0.19312	rDock
LLM (1000)	0.12907	rDock
LLM (1000)	0.13372	rDock
LLM (1000)	0.21665	rDock
LLM (1000)	0.18143	rDock
LLM (1000)	0.19692	rDock
LLM (1000)	0.15208	rDock
LLM (1000)	0.17571	rDock
LLM (1000)	0.22724	rDock
LLM (1000)	0.20646	rDock
LLM (1000)	0.21536	rDock
LLM (1000)	0.18206	rDock
LLM (1000)	0.22157	rDock
LLM (1000)	0.19326	rDock
LLM (1000)	0.21021	rDock
LLM (1000)	0.20473	rDock
LLM (1000)	0.21676	rDock
LLM (1000)	0.24744	rDock
LLM (1000)	0.17849	rDock
LLM (1000)	0.19342	rDock
LLM (1000)	0.22915	rDock
LLM (1000)	0.22832	rDock
LLM (1000)	0.27307	rDock
LLM (1000)	0.22248	rDock
LLM (1000)	0.17933	rDock
LLM (1000)	0.1527	rDock
LLM (1000)	0.18042	rDock
LLM (1000)	0.21707	rDock
LLM (1000)	0.26277	rDock
LLM (1000)	0.24326	rDock
LLM (1000)	0.23308	rDock
LLM (1000)	0.23809	rDock
LLM (1000)	0.17891	rDock
LLM (1000)	0.16819	rDock
LLM (1000)	0.19057	rDock
LLM (1000)	0.21649	rDock
LLM (1000)	0.17007	rDock
LLM (1000)	0.2025	rDock
LLM (1000)	0.21754	rDock
LLM (1000)	0.21832	rDock
LLM (1000)	0.18812	rDock
LLM (1000)	0.23226	rDock
LLM (1000)	0.18367	rDock
LLM (1000)	0.12812	rDock
LLM (1000)	0.18694	rDock
LLM (1000)	0.2665	rDock
LLM (1000)	0.19761	rDock
LLM (1000)	0.17338	rDock
LLM (1000)	0.28585	rDock
LLM (1000)	0.18164	rDock
LLM (1000)	0.21771	rDock
LLM (1000)	0.18397	rDock
LLM (1000)	0.16107	rDock
LLM (1000)	0.25218	rDock
LLM (1000)	0.22822	rDock
LLM (1000)	0.21793	rDock
LLM (1000)	0.21507	rDock
LLM (1000)	0.2337	rDock
LLM (1000)	0.21104	rDock
LLM (1000)	0.22006	rDock
LLM (1000)	0.23509	rDock
LLM (1000)	0.27932	rDock
LLM (1000)	0.2617	rDock
LLM (1000)	0.24995	rDock
LLM (1000)	0.20101	rDock
LLM (1000)	0.18758	rDock
LLM (1000)	0.19801	rDock
LLM (1000)	0.2143	rDock
LLM (1000)	0.22958	rDock
LLM (1000)	0.23607	rDock
LLM (1000)	0.19213	rDock
LLM (1000)	0.1935	rDock
LLM (1000)	0.17504	rDock
LLM (1000)	0.24657	rDock
LLM (1000)	0.21766	rDock
LLM (1000)	0.2227	rDock
LLM (1000)	0.25654	rDock
LLM (1000)	0.2036	rDock
LLM (1000)	0.2384	rDock
LLM (1000)	0.22174	rDock
LLM (1000)	0.23539	rDock
LLM (1000)	0.22374	rDock
LLM (1000)	0.13803	rDock
LLM (1000)	0.17929	rDock
LLM (1000)	0.20264	rDock
LLM (1000)	0.20642	rDock
LLM (1000)	0.13262	rDock
LLM (1000)	0.14798	rDock
LLM (1000)	0.18181	rDock
LLM (1000)	0.20319	rDock
LLM (1000)	0.18002	rDock
LLM (1000)	0.19832	rDock
LLM (1000)	0.22221	rDock
LLM (1000)	0.13007	rDock
LLM (1000)	0.19819	rDock
LLM (1000)	0.19185	rDock
LLM (1000)	0.21697	rDock
LLM (1000)	0.23035	rDock
LLM (1000)	0.14405	rDock
LLM (1000)	0.17361	rDock
LLM (1000)	0.2283	rDock
LLM (1000)	0.1781	rDock
LLM (1000)	0.26284	rDock
LLM (1000)	0.24666	rDock
LLM (1000)	0.24487	rDock
LLM (1000)	0.22857	rDock
LLM (1000)	0.24287	rDock
LLM (1000)	0.21918	rDock
LLM (1000)	0.22336	rDock
LLM (1000)	0.2372	rDock
LLM (1000)	0.19454	rDock
LLM (1000)	0.22829	rDock
LLM (1000)	0.24679	rDock
LLM (1000)	0.2556	rDock
LLM (1000)	0.23344	rDock
LLM (1000)	0.1991	rDock
LLM (1000)	0.11391	rDock
LLM (1000)	0.21335	rDock
LLM (1000)	0.12496	rDock
LLM (1000)	0.12683	rDock
LLM (1000)	0.11009	rDock
LLM (1000)	0.22231	rDock
LLM (1000)	0.16465	rDock
LLM (1000)	0.2846	rDock
LLM (1000)	0.14241	rDock
LLM (1000)	0.22156	rDock
LLM (1000)	0.20188	rDock
LLM (1000)	0.15758	rDock
LLM (1000)	0.28084	rDock
LLM (1000)	0.19562	rDock
LLM (1000)	0.24198	rDock
LLM (1000)	0.18539	rDock
LLM (1000)	0.1072	rDock
LLM (1000)	0.1041	rDock
LLM (1000)	0.23276	rDock
LLM (1000)	0.2153	rDock
LLM (1000)	0.21483	rDock
LLM (1000)	0.24883	rDock
LLM (1000)	0.23714	rDock
LLM (1000)	0.18018	rDock
LLM (1000)	0.17305	rDock
LLM (1000)	0.24894	rDock
LLM (1000)	0.17584	rDock
LLM (1000)	0.1931	rDock
LLM (1000)	0.24271	rDock
LLM (1000)	0.22777	rDock
LLM (1000)	0.18696	rDock
LLM (1000)	0.21653	rDock
LLM (1000)	0.17479	rDock
LLM (1000)	0.19811	rDock
LLM (1000)	0.1993	rDock
LLM (1000)	0.23981	rDock
LLM (1000)	0.20033	rDock
LLM (1000)	0.17503	rDock
LLM (1000)	0.24055	rDock
LLM (1000)	0.24306	rDock
LLM (1000)	0.13785	rDock
LLM (1000)	0.14924	rDock
LLM (1000)	0.21028	rDock
LLM (1000)	0.20249	rDock
LLM (1000)	0.1311	rDock
LLM (1000)	0.24659	rDock
LLM (1000)	0.23665	rDock
LLM (1000)	0.23428	rDock
LLM (1000)	0.21478	rDock
LLM (1000)	0.2171	rDock
LLM (1000)	0.19805	rDock
LLM (1000)	0.22018	rDock
LLM (1000)	0.22837	rDock
LLM (1000)	0.14772	rDock
LLM (1000)	0.19833	rDock
LLM (1000)	0.20772	rDock
LLM (1000)	0.22156	rDock
LLM (1000)	0.23869	rDock
LLM (1000)	0.22881	rDock
LLM (1000)	0.23578	rDock
LLM (1000)	0.20872	rDock
LLM (1000)	0.23025	rDock
LLM (1000)	0.23774	rDock
LLM (1000)	0.2329	rDock
LLM (1000)	0.21942	rDock
LLM (1000)	0.21848	rDock
LLM (1000)	0.24622	rDock
LLM (1000)	0.27028	rDock
LLM (1000)	0.2197	rDock
LLM (1000)	0.232	rDock
LLM (1000)	0.22747	rDock
LLM (1000)	0.2143	rDock
LLM (1000)	0.19366	rDock
LLM (1000)	0.20898	rDock
LLM (1000)	0.21676	rDock
LLM (1000)	0.24873	rDock
LLM (1000)	0.09108	rDock
LLM (1000)	0.20568	rDock
LLM (1000)	0.18773	rDock
LLM (1000)	0.20909	rDock
LLM (1000)	0.17374	rDock
LLM (1000)	0.17757	rDock
LLM (1000)	0.1109	rDock
LLM (1000)	0.22066	rDock
LLM (1000)	0.21862	rDock
LLM (1000)	0.16963	rDock
LLM (1000)	0.19147	rDock
LLM (1000)	0.13267	rDock
LLM (1000)	0.22064	rDock
LLM (1000)	0.22951	rDock
