Compound Type	Standard Deviation	Docking Strategy
LLM (1000)	0.10709	SMINA
LLM (1000)	0.33192	SMINA
LLM (1000)	0.09377	SMINA
LLM (1000)	0.18937	SMINA
LLM (1000)	0.12866	SMINA
LLM (1000)	0.1962	SMINA
LLM (1000)	0.16235	SMINA
LLM (1000)	0.16452	SMINA
LLM (1000)	0.16467	SMINA
LLM (1000)	0.17143	SMINA
LLM (1000)	0.16416	SMINA
LLM (1000)	0.18209	SMINA
LLM (1000)	0.12074	SMINA
LLM (1000)	0.19898	SMINA
LLM (1000)	0.18701	SMINA
LLM (1000)	0.13299	SMINA
LLM (1000)	0.16672	SMINA
LLM (1000)	0.18151	SMINA
LLM (1000)	0.19702	SMINA
LLM (1000)	0.18416	SMINA
LLM (1000)	0.2057	SMINA
LLM (1000)	0.16844	SMINA
LLM (1000)	0.16267	SMINA
LLM (1000)	0.16344	SMINA
LLM (1000)	0.29486	SMINA
LLM (1000)	0.15078	SMINA
LLM (1000)	0.14009	SMINA
LLM (1000)	0.16837	SMINA
LLM (1000)	0.25037	SMINA
LLM (1000)	0.22961	SMINA
LLM (1000)	0.13313	SMINA
LLM (1000)	0.15464	SMINA
LLM (1000)	0.1463	SMINA
LLM (1000)	0.15844	SMINA
LLM (1000)	0.26003	SMINA
LLM (1000)	0.223	SMINA
LLM (1000)	0.24484	SMINA
LLM (1000)	0.21516	SMINA
LLM (1000)	0.27271	SMINA
LLM (1000)	0.14866	SMINA
LLM (1000)	0.10294	SMINA
LLM (1000)	0.14623	SMINA
LLM (1000)	0.17726	SMINA
LLM (1000)	0.13111	SMINA
LLM (1000)	0.21566	SMINA
LLM (1000)	0.18026	SMINA
LLM (1000)	0.17164	SMINA
LLM (1000)	0.14783	SMINA
LLM (1000)	0.14918	SMINA
LLM (1000)	0.17134	SMINA
LLM (1000)	0.0978	SMINA
LLM (1000)	0.15025	SMINA
LLM (1000)	0.26267	SMINA
LLM (1000)	0.1677	SMINA
LLM (1000)	0.13795	SMINA
LLM (1000)	0.29498	SMINA
LLM (1000)	0.15628	SMINA
LLM (1000)	0.20871	SMINA
LLM (1000)	0.21159	SMINA
LLM (1000)	0.15387	SMINA
LLM (1000)	0.24282	SMINA
LLM (1000)	0.12719	SMINA
LLM (1000)	0.26057	SMINA
LLM (1000)	0.21789	SMINA
LLM (1000)	0.16432	SMINA
LLM (1000)	0.2158	SMINA
LLM (1000)	0.15594	SMINA
LLM (1000)	0.21892	SMINA
LLM (1000)	0.20605	SMINA
LLM (1000)	0.23618	SMINA
LLM (1000)	0.2593	SMINA
LLM (1000)	0.19142	SMINA
LLM (1000)	0.11659	SMINA
LLM (1000)	0.11509	SMINA
LLM (1000)	0.18208	SMINA
LLM (1000)	0.15529	SMINA
LLM (1000)	0.12532	SMINA
LLM (1000)	0.16063	SMINA
LLM (1000)	0.14805	SMINA
LLM (1000)	0.16174	SMINA
LLM (1000)	0.16451	SMINA
LLM (1000)	0.17128	SMINA
LLM (1000)	0.18842	SMINA
LLM (1000)	0.21721	SMINA
LLM (1000)	0.19314	SMINA
LLM (1000)	0.23914	SMINA
LLM (1000)	0.17211	SMINA
LLM (1000)	0.16457	SMINA
LLM (1000)	0.21133	SMINA
LLM (1000)	0.09218	SMINA
LLM (1000)	0.10502	SMINA
LLM (1000)	0.17094	SMINA
LLM (1000)	0.20036	SMINA
LLM (1000)	0.09447	SMINA
LLM (1000)	0.09952	SMINA
LLM (1000)	0.18916	SMINA
LLM (1000)	0.16519	SMINA
LLM (1000)	0.18191	SMINA
LLM (1000)	0.17146	SMINA
LLM (1000)	0.19332	SMINA
LLM (1000)	0.11588	SMINA
LLM (1000)	0.15896	SMINA
LLM (1000)	0.15703	SMINA
LLM (1000)	0.20848	SMINA
LLM (1000)	0.2024	SMINA
LLM (1000)	0.07764	SMINA
LLM (1000)	0.22303	SMINA
LLM (1000)	0.16766	SMINA
LLM (1000)	0.16225	SMINA
LLM (1000)	0.14761	SMINA
LLM (1000)	0.16827	SMINA
LLM (1000)	0.18751	SMINA
LLM (1000)	0.15153	SMINA
LLM (1000)	0.2024	SMINA
LLM (1000)	0.20143	SMINA
LLM (1000)	0.18327	SMINA
LLM (1000)	0.14391	SMINA
LLM (1000)	0.15713	SMINA
LLM (1000)	0.1479	SMINA
LLM (1000)	0.18482	SMINA
LLM (1000)	0.17147	SMINA
LLM (1000)	0.14273	SMINA
LLM (1000)	0.17599	SMINA
LLM (1000)	0.20079	SMINA
LLM (1000)	0.23289	SMINA
LLM (1000)	0.17602	SMINA
LLM (1000)	0.20241	SMINA
LLM (1000)	0.10917	SMINA
LLM (1000)	0.1578	SMINA
LLM (1000)	0.18817	SMINA
LLM (1000)	0.24965	SMINA
LLM (1000)	0.19284	SMINA
LLM (1000)	0.20463	SMINA
LLM (1000)	0.16532	SMINA
LLM (1000)	0.19622	SMINA
LLM (1000)	0.16226	SMINA
LLM (1000)	0.22544	SMINA
LLM (1000)	0.19074	SMINA
LLM (1000)	0.17445	SMINA
LLM (1000)	0.2179	SMINA
LLM (1000)	0.16227	SMINA
LLM (1000)	0.30904	SMINA
LLM (1000)	0.18953	SMINA
LLM (1000)	0.22128	SMINA
LLM (1000)	0.15974	SMINA
LLM (1000)	0.16052	SMINA
LLM (1000)	0.10188	SMINA
LLM (1000)	0.16729	SMINA
LLM (1000)	0.16823	SMINA
LLM (1000)	0.16365	SMINA
LLM (1000)	0.18898	SMINA
LLM (1000)	0.16791	SMINA
LLM (1000)	0.15849	SMINA
LLM (1000)	0.19363	SMINA
LLM (1000)	0.1715	SMINA
LLM (1000)	0.18675	SMINA
LLM (1000)	0.1691	SMINA
LLM (1000)	0.20162	SMINA
LLM (1000)	0.14463	SMINA
LLM (1000)	0.15054	SMINA
LLM (1000)	0.19341	SMINA
LLM (1000)	0.22995	SMINA
LLM (1000)	0.19255	SMINA
LLM (1000)	0.10328	SMINA
LLM (1000)	0.17158	SMINA
LLM (1000)	0.1663	SMINA
LLM (1000)	0.18518	SMINA
LLM (1000)	0.11045	SMINA
LLM (1000)	0.19428	SMINA
LLM (1000)	0.17522	SMINA
LLM (1000)	0.16736	SMINA
LLM (1000)	0.17986	SMINA
LLM (1000)	0.16008	SMINA
LLM (1000)	0.17637	SMINA
LLM (1000)	0.17175	SMINA
LLM (1000)	0.15303	SMINA
LLM (1000)	0.152	SMINA
LLM (1000)	0.14846	SMINA
LLM (1000)	0.12034	SMINA
LLM (1000)	0.13473	SMINA
LLM (1000)	0.18862	SMINA
LLM (1000)	0.1688	SMINA
LLM (1000)	0.15456	SMINA
LLM (1000)	0.15951	SMINA
LLM (1000)	0.15246	SMINA
LLM (1000)	0.15291	SMINA
LLM (1000)	0.16589	SMINA
LLM (1000)	0.16465	SMINA
LLM (1000)	0.16552	SMINA
LLM (1000)	0.19721	SMINA
LLM (1000)	0.15413	SMINA
LLM (1000)	0.17126	SMINA
LLM (1000)	0.152	SMINA
LLM (1000)	0.12951	SMINA
LLM (1000)	0.15913	SMINA
LLM (1000)	0.18797	SMINA
LLM (1000)	0.17848	SMINA
LLM (1000)	0.1436	SMINA
LLM (1000)	0.15378	SMINA
LLM (1000)	0.20486	SMINA
LLM (1000)	0.15112	SMINA
LLM (1000)	0.1552	SMINA
LLM (1000)	0.19616	SMINA
LLM (1000)	0.19183	SMINA
LLM (1000)	0.17939	SMINA
LLM (1000)	0.10004	SMINA
LLM (1000)	0.18071	SMINA
LLM (1000)	0.23106	SMINA
LLM (1000)	0.13069	SMINA
LLM (1000)	0.23097	SMINA
LLM (1000)	0.17996	SMINA
LLM (1000)	0.21813	SMINA
LLM (1000)	0.25571	SMINA
LLM (1000)	0.27058	SMINA
LLM (1000)	0.15088	SMINA
LLM (1000)	0.12909	SMINA
LLM (1000)	0.15232	SMINA
LLM (1000)	0.16709	SMINA
LLM (1000)	0.16665	SMINA
LLM (1000)	0.14361	SMINA
LLM (1000)	0.17539	SMINA
LLM (1000)	0.12866	SMINA
LLM (1000)	0.3335	SMINA
LLM (1000)	0.20861	SMINA
LLM (1000)	0.1685	SMINA
LLM (1000)	0.15034	SMINA
LLM (1000)	0.15903	SMINA
LLM (1000)	0.18885	SMINA
LLM (1000)	0.1802	SMINA
LLM (1000)	0.11626	SMINA
LLM (1000)	0.18596	SMINA
LLM (1000)	0.20323	SMINA
LLM (1000)	0.14718	SMINA
LLM (1000)	0.16785	SMINA
LLM (1000)	0.18096	SMINA
LLM (1000)	0.18379	SMINA
LLM (1000)	0.12682	SMINA
LLM (1000)	0.10298	SMINA
LLM (1000)	0.17549	SMINA
LLM (1000)	0.09818	SMINA
LLM (1000)	0.17173	SMINA
LLM (1000)	0.22417	SMINA
LLM (1000)	0.23536	SMINA
LLM (1000)	0.14279	SMINA
LLM (1000)	0.16159	SMINA
LLM (1000)	0.17677	SMINA
LLM (1000)	0.19338	SMINA
LLM (1000)	0.15544	SMINA
LLM (1000)	0.1791	SMINA
LLM (1000)	0.16403	SMINA
LLM (1000)	0.17092	SMINA
LLM (1000)	0.19763	SMINA
LLM (1000)	0.22457	SMINA
LLM (1000)	0.17737	SMINA
LLM (1000)	0.11625	SMINA
LLM (1000)	0.13999	SMINA
LLM (1000)	0.15688	SMINA
LLM (1000)	0.19612	SMINA
LLM (1000)	0.14424	SMINA
LLM (1000)	0.22279	SMINA
LLM (1000)	0.18926	SMINA
LLM (1000)	0.14641	SMINA
LLM (1000)	0.20121	SMINA
LLM (1000)	0.15345	SMINA
LLM (1000)	0.19956	SMINA
LLM (1000)	0.17364	SMINA
LLM (1000)	0.18489	SMINA
LLM (1000)	0.11851	SMINA
LLM (1000)	0.18405	SMINA
LLM (1000)	0.11513	SMINA
LLM (1000)	0.11046	SMINA
LLM (1000)	0.19118	SMINA
LLM (1000)	0.18806	SMINA
LLM (1000)	0.15521	SMINA
LLM (1000)	0.11828	SMINA
LLM (1000)	0.17405	SMINA
LLM (1000)	0.1698	SMINA
LLM (1000)	0.17996	SMINA
LLM (1000)	0.17093	SMINA
LLM (1000)	0.13502	SMINA
LLM (1000)	0.14938	SMINA
LLM (1000)	0.24126	SMINA
LLM (1000)	0.18317	SMINA
LLM (1000)	0.13872	SMINA
LLM (1000)	0.18675	SMINA
LLM (1000)	0.14983	SMINA
LLM (1000)	0.16767	SMINA
LLM (1000)	0.16089	SMINA
LLM (1000)	0.20863	SMINA
LLM (1000)	0.2386	SMINA
LLM (1000)	0.19121	SMINA
LLM (1000)	0.17512	SMINA
LLM (1000)	0.18394	SMINA
LLM (1000)	0.20277	SMINA
LLM (1000)	0.15958	SMINA
LLM (1000)	0.15561	SMINA
LLM (1000)	0.13982	SMINA
LLM (1000)	0.13002	SMINA
LLM (1000)	0.22882	SMINA
LLM (1000)	0.18763	SMINA
LLM (1000)	0.19804	SMINA
LLM (1000)	0.26449	SMINA
LLM (1000)	0.12935	SMINA
LLM (1000)	0.11797	SMINA
LLM (1000)	0.20543	SMINA
LLM (1000)	0.24559	SMINA
LLM (1000)	0.15555	SMINA
LLM (1000)	0.18402	SMINA
LLM (1000)	0.16929	SMINA
LLM (1000)	0.14401	SMINA
LLM (1000)	0.16799	SMINA
LLM (1000)	0.17433	SMINA
LLM (1000)	0.21281	SMINA
LLM (1000)	0.13091	SMINA
LLM (1000)	0.20462	SMINA
LLM (1000)	0.20045	SMINA
LLM (1000)	0.30015	SMINA
LLM (1000)	0.21824	SMINA
LLM (1000)	0.17922	SMINA
LLM (1000)	0.16445	SMINA
LLM (1000)	0.15583	SMINA
LLM (1000)	0.2179	SMINA
LLM (1000)	0.20835	SMINA
LLM (1000)	0.16997	SMINA
LLM (1000)	0.17008	SMINA
LLM (1000)	0.2881	SMINA
LLM (1000)	0.21343	SMINA
LLM (1000)	0.15495	SMINA
LLM (1000)	0.15956	SMINA
LLM (1000)	0.14106	SMINA
LLM (1000)	0.15204	SMINA
LLM (1000)	0.29207	SMINA
LLM (1000)	0.26096	SMINA
LLM (1000)	0.23005	SMINA
LLM (1000)	0.16974	SMINA
LLM (1000)	0.15231	SMINA
LLM (1000)	0.21877	SMINA
LLM (1000)	0.21978	SMINA
LLM (1000)	0.20641	SMINA
LLM (1000)	0.18651	SMINA
LLM (1000)	0.17007	SMINA
LLM (1000)	0.09914	SMINA
LLM (1000)	0.14921	SMINA
LLM (1000)	0.17823	SMINA
LLM (1000)	0.2191	SMINA
LLM (1000)	0.19128	SMINA
LLM (1000)	0.13981	SMINA
LLM (1000)	0.15309	SMINA
LLM (1000)	0.09402	SMINA
LLM (1000)	0.17195	SMINA
LLM (1000)	0.20704	SMINA
LLM (1000)	0.16169	SMINA
LLM (1000)	0.19145	SMINA
LLM (1000)	0.16424	SMINA
LLM (1000)	0.15081	SMINA
LLM (1000)	0.1622	SMINA
LLM (1000)	0.16109	SMINA
LLM (1000)	0.1611	SMINA
LLM (1000)	0.12495	SMINA
LLM (1000)	0.09999	SMINA
LLM (1000)	0.17644	SMINA
LLM (1000)	0.15403	SMINA
LLM (1000)	0.15613	SMINA
LLM (1000)	0.1628	SMINA
LLM (1000)	0.16871	SMINA
LLM (1000)	0.19253	SMINA
LLM (1000)	0.15264	SMINA
LLM (1000)	0.18027	SMINA
LLM (1000)	0.17231	SMINA
LLM (1000)	0.15415	SMINA
LLM (1000)	0.16369	SMINA
LLM (1000)	0.19729	SMINA
LLM (1000)	0.30675	SMINA
LLM (1000)	0.14625	SMINA
LLM (1000)	0.18579	SMINA
LLM (1000)	0.14304	SMINA
LLM (1000)	0.19123	SMINA
LLM (1000)	0.17274	SMINA
LLM (1000)	0.28825	SMINA
LLM (1000)	0.1464	SMINA
LLM (1000)	0.20335	SMINA
LLM (1000)	0.16797	SMINA
LLM (1000)	0.14308	SMINA
LLM (1000)	0.10405	SMINA
LLM (1000)	0.1494	SMINA
LLM (1000)	0.12149	SMINA
LLM (1000)	0.12012	SMINA
LLM (1000)	0.16276	SMINA
LLM (1000)	0.15268	SMINA
LLM (1000)	0.1598	SMINA
LLM (1000)	0.2227	SMINA
LLM (1000)	0.16363	SMINA
LLM (1000)	0.16972	SMINA
LLM (1000)	0.16924	SMINA
Fragments (667)	0.00182	rDock
Fragments (667)	0.00462	rDock
Fragments (667)	0.00983	rDock
Fragments (667)	0.01642	rDock
Fragments (667)	0.01771	rDock
Fragments (667)	0.04519	rDock
Fragments (667)	0.00835	rDock
Fragments (667)	0.13978	rDock
Fragments (667)	0.10242	rDock
Fragments (667)	0.04925	rDock
Fragments (667)	0.02119	rDock
Fragments (667)	0.00199	rDock
Fragments (667)	0.03266	rDock
Fragments (667)	0.01866	rDock
Fragments (667)	0.11818	rDock
Fragments (667)	0.13366	rDock
Fragments (667)	0.05429	rDock
Fragments (667)	0.02702	rDock
Fragments (667)	0.19609	rDock
Fragments (667)	0.12957	rDock
Fragments (667)	0.05428	rDock
Fragments (667)	0.03141	rDock
Fragments (667)	0.1887	rDock
Fragments (667)	0.23683	rDock
Fragments (667)	0.24891	rDock
Fragments (667)	0.18436	rDock
Fragments (667)	0.20308	rDock
Fragments (667)	0.1734	rDock
Fragments (667)	0.18894	rDock
Fragments (667)	0.1277	rDock
Fragments (667)	0.15184	rDock
Fragments (667)	0.10205	rDock
Fragments (667)	0.08427	rDock
Fragments (667)	0.03843	rDock
Fragments (667)	0.10858	rDock
Fragments (667)	0.04755	rDock
Fragments (667)	0.1384	rDock
Fragments (667)	0.22614	rDock
Fragments (667)	0.07891	rDock
Fragments (667)	0.13626	rDock
Fragments (667)	0.08016	rDock
Fragments (667)	0.16679	rDock
Fragments (667)	0.18632	rDock
Fragments (667)	0.15277	rDock
Fragments (667)	0.11836	rDock
Fragments (667)	0.01015	rDock
Fragments (667)	0.17269	rDock
Fragments (667)	0.05812	rDock
Fragments (667)	0.15464	rDock
Fragments (667)	0.08707	rDock
Fragments (667)	0.05754	rDock
Fragments (667)	0.11945	rDock
Fragments (667)	0.12626	rDock
Fragments (667)	0.07903	rDock
Fragments (667)	0.1644	rDock
Fragments (667)	0.17611	rDock
Fragments (667)	0.19786	rDock
Fragments (667)	0.20193	rDock
Fragments (667)	0.21078	rDock
Fragments (667)	0.23156	rDock
Fragments (667)	0.03526	rDock
Fragments (667)	0.06368	rDock
Fragments (667)	0.07113	rDock
Fragments (667)	0.07459	rDock
Fragments (667)	0.02364	rDock
Fragments (667)	0.03655	rDock
Fragments (667)	0.03812	rDock
Fragments (667)	0.0407	rDock
Fragments (667)	0.07531	rDock
Fragments (667)	0.12734	rDock
Fragments (667)	0.20322	rDock
Fragments (667)	0.10763	rDock
Fragments (667)	0.07518	rDock
Fragments (667)	0.22128	rDock
Fragments (667)	0.20793	rDock
Fragments (667)	0.23167	rDock
Fragments (667)	0.21684	rDock
Fragments (667)	0.17614	rDock
Fragments (667)	0.12133	rDock
Fragments (667)	0.13702	rDock
Fragments (667)	0.04323	rDock
Fragments (667)	0.19229	rDock
Fragments (667)	0.15497	rDock
Fragments (667)	0.10541	rDock
Fragments (667)	0.16905	rDock
Fragments (667)	0.23196	rDock
Fragments (667)	0.227	rDock
Fragments (667)	0.2077	rDock
Fragments (667)	0.23721	rDock
Fragments (667)	0.0625	rDock
Fragments (667)	0.11848	rDock
Fragments (667)	0.04202	rDock
Fragments (667)	0.01673	rDock
Fragments (667)	0.10134	rDock
Fragments (667)	0.12784	rDock
Fragments (667)	0.08051	rDock
Fragments (667)	0.05582	rDock
Fragments (667)	0.16059	rDock
Fragments (667)	0.21625	rDock
Fragments (667)	0.12512	rDock
Fragments (667)	0.18732	rDock
Fragments (667)	0.04044	rDock
Fragments (667)	0.01	rDock
Fragments (667)	0.07416	rDock
Fragments (667)	0.08584	rDock
Fragments (667)	0.16916	rDock
Fragments (667)	0.13387	rDock
Fragments (667)	0.06863	rDock
Fragments (667)	0.11143	rDock
Fragments (667)	0.17163	rDock
Fragments (667)	0.13165	rDock
Fragments (667)	0.19763	rDock
Fragments (667)	0.18683	rDock
Fragments (667)	0.25558	rDock
Fragments (667)	0.11558	rDock
Fragments (667)	0.12112	rDock
Fragments (667)	0.1844	rDock
Fragments (667)	0.0957	rDock
Fragments (667)	0.07853	rDock
Fragments (667)	0.10426	rDock
Fragments (667)	0.21051	rDock
Fragments (667)	0.11242	rDock
Fragments (667)	0.21732	rDock
Fragments (667)	0.11973	rDock
Fragments (667)	0.10888	rDock
Fragments (667)	0.18817	rDock
Fragments (667)	0.16213	rDock
Fragments (667)	0.23595	rDock
Fragments (667)	0.13518	rDock
Fragments (667)	0.15972	rDock
Fragments (667)	0.17081	rDock
Fragments (667)	0.17391	rDock
Fragments (667)	0.16615	rDock
Fragments (667)	0.22192	rDock
Fragments (667)	0.20928	rDock
Fragments (667)	0.12461	rDock
Fragments (667)	0.21031	rDock
Fragments (667)	0.15945	rDock
Fragments (667)	0.2148	rDock
Fragments (667)	0.1203	rDock
Fragments (667)	0.11939	rDock
Fragments (667)	0.16044	rDock
Fragments (667)	0.15266	rDock
Fragments (667)	0.13471	rDock
Fragments (667)	0.15657	rDock
Fragments (667)	0.11221	rDock
Fragments (667)	0.12105	rDock
Fragments (667)	0.12231	rDock
Fragments (667)	0.21129	rDock
Fragments (667)	0.18372	rDock
Fragments (667)	0.19002	rDock
Fragments (667)	0.16373	rDock
Fragments (667)	0.14479	rDock
Fragments (667)	0.16176	rDock
Fragments (667)	0.1594	rDock
Fragments (667)	0.16055	rDock
Fragments (667)	0.17624	rDock
Fragments (667)	0.15393	rDock
Fragments (667)	0.15803	rDock
Fragments (667)	0.16834	rDock
Fragments (667)	0.17847	rDock
Fragments (667)	0.1599	rDock
Fragments (667)	0.15435	rDock
Fragments (667)	0.16463	rDock
Fragments (667)	0.18107	rDock
Fragments (667)	0.14549	rDock
Fragments (667)	0.18836	rDock
Fragments (667)	0.15364	rDock
Fragments (667)	0.15982	rDock
Fragments (667)	0.20283	rDock
Fragments (667)	0.14885	rDock
Fragments (667)	0.19625	rDock
Fragments (667)	0.17529	rDock
Fragments (667)	0.17172	rDock
Fragments (667)	0.21079	rDock
Fragments (667)	0.18512	rDock
Fragments (667)	0.17494	rDock
Fragments (667)	0.18949	rDock
Fragments (667)	0.20593	rDock
Fragments (667)	0.17095	rDock
Fragments (667)	0.17844	rDock
Fragments (667)	0.17743	rDock
Fragments (667)	0.18255	rDock
Fragments (667)	0.20449	rDock
Fragments (667)	0.19748	rDock
Fragments (667)	0.18812	rDock
Fragments (667)	0.10641	rDock
Fragments (667)	0.126	rDock
Fragments (667)	0.13222	rDock
Fragments (667)	0.20129	rDock
Fragments (667)	0.19088	rDock
Fragments (667)	0.21632	rDock
Fragments (667)	0.14192	rDock
Fragments (667)	0.2089	rDock
Fragments (667)	0.15563	rDock
Fragments (667)	0.19958	rDock
Fragments (667)	0.12688	rDock
Fragments (667)	0.22156	rDock
Fragments (667)	0.13203	rDock
Fragments (667)	0.20821	rDock
Fragments (667)	0.15559	rDock
Fragments (667)	0.16313	rDock
Fragments (667)	0.14893	rDock
Fragments (667)	0.17446	rDock
Fragments (667)	0.17435	rDock
Fragments (667)	0.17865	rDock
Fragments (667)	0.17559	rDock
Fragments (667)	0.17754	rDock
Fragments (667)	0.19426	rDock
Fragments (667)	0.20112	rDock
Fragments (667)	0.24567	rDock
Fragments (667)	0.02897	rDock
Fragments (667)	0.26516	rDock
Fragments (667)	0.08241	rDock
Fragments (667)	0.22177	rDock
Fragments (667)	0.13467	rDock
Fragments (667)	0.17753	rDock
Fragments (667)	0.12604	rDock
Fragments (667)	0.09916	rDock
Fragments (667)	0.15001	rDock
Fragments (667)	0.04018	rDock
Fragments (667)	0.03369	rDock
Fragments (667)	0.13804	rDock
Fragments (667)	0.18056	rDock
Fragments (667)	0.10998	rDock
Fragments (667)	0.21573	rDock
Fragments (667)	0.14968	rDock
Fragments (667)	0.2425	rDock
Fragments (667)	0.14957	rDock
Fragments (667)	0.21576	rDock
Fragments (667)	0.1276	rDock
Fragments (667)	0.12447	rDock
Fragments (667)	0.04929	rDock
Fragments (667)	0.14317	rDock
Fragments (667)	0.10205	rDock
Fragments (667)	0.1154	rDock
Fragments (667)	0.04979	rDock
Fragments (667)	0.16129	rDock
Fragments (667)	0.19844	rDock
Fragments (667)	0.20736	rDock
Fragments (667)	0.13186	rDock
Fragments (667)	0.2142	rDock
Fragments (667)	0.08786	rDock
Fragments (667)	0.14437	rDock
Fragments (667)	0.21567	rDock
Fragments (667)	0.05471	rDock
Fragments (667)	0.06535	rDock
Fragments (667)	0.16444	rDock
Fragments (667)	0.11697	rDock
Fragments (667)	0.13541	rDock
Fragments (667)	0.22505	rDock
Fragments (667)	0.01937	rDock
Fragments (667)	0.06205	rDock
Fragments (667)	0.09456	rDock
Fragments (667)	0.16484	rDock
Fragments (667)	0.07324	rDock
Fragments (667)	0.13053	rDock
Fragments (667)	0.05676	rDock
Fragments (667)	0.14928	rDock
Fragments (667)	0.09334	rDock
Fragments (667)	0.15871	rDock
Fragments (667)	0.16647	rDock
Fragments (667)	0.23122	rDock
Fragments (667)	0.09877	rDock
Fragments (667)	0.16647	rDock
Fragments (667)	0.24567	rDock
Fragments (667)	0.18054	rDock
Fragments (667)	0.14781	rDock
Fragments (667)	0.13119	rDock
Fragments (667)	0.05512	rDock
Fragments (667)	0.17047	rDock
Fragments (667)	0.20031	rDock
Fragments (667)	0.19981	rDock
Fragments (667)	0.1392	rDock
Fragments (667)	0.23015	rDock
Fragments (667)	0.10519	rDock
Fragments (667)	0.15342	rDock
Fragments (667)	0.19904	rDock
Fragments (667)	0.15859	rDock
Fragments (667)	0.1468	rDock
Fragments (667)	0.09839	rDock
Fragments (667)	0.17117	rDock
Fragments (667)	0.20028	rDock
Fragments (667)	0.157	rDock
Fragments (667)	0.22322	rDock
Fragments (667)	0.12408	rDock
Fragments (667)	0.16172	rDock
Fragments (667)	0.21051	rDock
Fragments (667)	0.14105	rDock
Fragments (667)	0.19223	rDock
Fragments (667)	0.10678	rDock
Fragments (667)	0.20939	rDock
Fragments (667)	0.20742	rDock
Fragments (667)	0.19191	rDock
Fragments (667)	0.16967	rDock
Fragments (667)	0.21216	rDock
Fragments (667)	0.18824	rDock
Fragments (667)	0.12871	rDock
Fragments (667)	0.22073	rDock
Fragments (667)	0.1334	rDock
Fragments (667)	0.12514	rDock
Fragments (667)	0.07809	rDock
Fragments (667)	0.10989	rDock
Fragments (667)	0.15006	rDock
Fragments (667)	0.1347	rDock
Fragments (667)	0.16403	rDock
Fragments (667)	0.11707	rDock
Fragments (667)	0.15722	rDock
Fragments (667)	0.19802	rDock
Fragments (667)	0.20352	rDock
Fragments (667)	0.19479	rDock
Fragments (667)	0.19766	rDock
Fragments (667)	0.1858	rDock
Fragments (667)	0.19033	rDock
Fragments (667)	0.18298	rDock
Fragments (667)	0.1817	rDock
Fragments (667)	0.1984	rDock
Fragments (667)	0.20311	rDock
Fragments (667)	0.21328	rDock
Fragments (667)	0.24584	rDock
Fragments (667)	0.22011	rDock
Fragments (667)	0.25663	rDock
Fragments (667)	0.21474	rDock
Fragments (667)	0.17326	rDock
Fragments (667)	0.22505	rDock
Fragments (667)	0.21549	rDock
Fragments (667)	0.19565	rDock
Fragments (667)	0.23294	rDock
Fragments (667)	0.25049	rDock
Fragments (667)	0.22261	rDock
Fragments (667)	0.23609	rDock
Fragments (667)	0.19904	rDock
Fragments (667)	0.20892	rDock
Fragments (667)	0.24073	rDock
Fragments (667)	0.13794	rDock
Fragments (667)	0.15292	rDock
Fragments (667)	0.10736	rDock
Fragments (667)	0.11059	rDock
Fragments (667)	0.16398	rDock
Fragments (667)	0.18894	rDock
Fragments (667)	0.16058	rDock
Fragments (667)	0.17932	rDock
Fragments (667)	0.17542	rDock
Fragments (667)	0.16238	rDock
Fragments (667)	0.13224	rDock
Fragments (667)	0.15349	rDock
Fragments (667)	0.16921	rDock
Fragments (667)	0.1395	rDock
Fragments (667)	0.17494	rDock
Fragments (667)	0.1489	rDock
Fragments (667)	0.16297	rDock
Fragments (667)	0.13906	rDock
Fragments (667)	0.1894	rDock
Fragments (667)	0.15665	rDock
Fragments (667)	0.18944	rDock
Fragments (667)	0.1338	rDock
Fragments (667)	0.19117	rDock
Fragments (667)	0.18638	rDock
Fragments (667)	0.15145	rDock
Fragments (667)	0.18843	rDock
Fragments (667)	0.12995	rDock
Fragments (667)	0.17859	rDock
Fragments (667)	0.15839	rDock
Fragments (667)	0.20988	rDock
Fragments (667)	0.13673	rDock
Fragments (667)	0.1505	rDock
Fragments (667)	0.15357	rDock
Fragments (667)	0.16044	rDock
Fragments (667)	0.1792	rDock
Fragments (667)	0.14291	rDock
Fragments (667)	0.17441	rDock
Fragments (667)	0.19236	rDock
Fragments (667)	0.1868	rDock
Fragments (667)	0.16748	rDock
Fragments (667)	0.21467	rDock
Fragments (667)	0.20608	rDock
Fragments (667)	0.24393	rDock
Fragments (667)	0.24019	rDock
Fragments (667)	0.22834	rDock
Fragments (667)	0.22284	rDock
Fragments (667)	0.19898	rDock
Fragments (667)	0.19269	rDock
Fragments (667)	0.16874	rDock
Fragments (667)	0.2307	rDock
Fragments (667)	0.22519	rDock
Fragments (667)	0.2082	rDock
Fragments (667)	0.19975	rDock
Fragments (667)	0.15073	rDock
Fragments (667)	0.16618	rDock
Fragments (667)	0.18714	rDock
Fragments (667)	0.16674	rDock
Fragments (667)	0.18801	rDock
Fragments (667)	0.18808	rDock
Fragments (667)	0.15976	rDock
Fragments (667)	0.17934	rDock
Fragments (667)	0.15422	rDock
Fragments (667)	0.1469	rDock
Fragments (667)	0.16171	rDock
Fragments (667)	0.14217	rDock
Fragments (667)	0.16523	rDock
Fragments (667)	0.16186	rDock
Fragments (667)	0.15929	rDock
Fragments (667)	0.19042	rDock
Fragments (667)	0.17548	rDock
Fragments (667)	0.14874	rDock
