Pocket Set	Molecule name	Average docking ranking	MW heavy atoms	MW exact
AF2-LIG	Asinex ASN 06601079	59.07829181494662	376.36	400.17
AF2-LIG	Cerep CER0116166	53.20071174377224	375.35	388.05
AF2-LIG	Tripos 1554-07659	84.2982206405694	328.26	348.11
AF2-LIG	Princeton Biomolecular OSSK_115610	70.29181494661921	286.25	305.11
AF2-LIG	Pyxis Discovery PYX 00000172	62.276868327402134	307.22	335.21
AF2-LIG	Chem T&I IVK/0000448	75.80142348754448	348.3	372.15
AF2-LIG	Life Chemicals F0577-0037	60.14092526690391	370.33	395.17
AF2-LIG	Life Chemicals F0642-0697	57.71316725978647	317.26	331.08
AF2-LIG	Chem T&I AMSACS-26179	56.216370106761566	272.24	290.11
AF2-LIG	Tripos 1527-02989	58.47686832740214	278.63	292.08
AF2-LIG	Enamine T0503-9700	46.46405693950178	302.23	321.16
AF2-LIG	Tripos 1513-09513	70.55658362989324	362.31	387.16
AF2-LIG	Chembridge 7916788	86.37722419928825	306.3	323.06
AF2-LIG	Asinex ASN 03798095	71.79928825622775	362.31	394.22
AF2-LIG	Life Chemicals F1895-0070	65.04341637010675	425.39	441.07
AF2-LIG	Asinex BAS 05101595	61.58078291814947	372.3	396.18
AF2-LIG	InterBioScreen STOCK4S-15128	75.86476868327402	422.38	445.11
AF2-LIG	Asinex ASN 05588575	54.890391459074735	400.33	418.11
AF2-LIG	Biofocus 170_4347_0164	63.580071174377224	322.64	336.08
AF2-LIG	InterBioScreen STOCK5S-06824	61.50177935943061	325.67	341.09
AF2-LIG	Biofocus 119_0552_0135	84.92597864768683	378.29	401.19
AF2-LIG	Cerep CER0099275	52.22419928825623	392.22	411.13
AF2-LIG	Chemical Block A3816/0161993	75.61565836298932	344.31	362.12
AF2-LIG	Biofocus 170_0148_0349	49.52099644128114	366.28	387.17
AF2-LIG	Life Chemicals F0631-0161	47.69608540925267	348.3	373.17
AF2-LIG	Chembridge 9001855	70.80355871886121	425.75	449.15
AF2-LIG	Maybridge HTS 07015	63.982918149466194	322.21	342.13
AF2-LIG	Tripos 1554-03007	64.18220640569395	316.68	329.03
AF2-LIG	Asinex ASN 06116813	74.47544483985764	414.32	437.19
AF2-LIG	Tripos 1559-05871	56.012811387900356	309.11	323.01
AF2-LIG	Specs AN-648/40682295	67.35088967971531	264.2	282.14
AF2-LIG	ASDI 150016433	48.783629893238434	126.09	133.05
AF2-LIG	Tripos 1557-01752	55.14448398576513	354.71	372.08
AF2-LIG	Tripos 1518-06794	74.53665480427047	392.38	415.13
AF2-LIG	InterBioScreen STOCK5S-48304	61.63060498220641	414.32	437.17
AF2-LIG	Chem T&I PMOS-0027433	46.09252669039146	424.29	444.15
AF2-LIG	Lithuania 1067744	65.02989323843417	359.25	378.14
AF2-LIG	Maybridge HTS 06299	56.220640569395016	341.25	352.05
AF2-LIG	InterBioScreen STOCK5S-05837	76.8049822064057	421.71	446.14
AF2-LIG	Life Chemicals F1608-0478	69.69039145907473	350.27	377.21
AF2-LIG	Chemdiv 1416-0529	74.8220640569395	354.26	377.17
AF2-LIG	Chemical Block A3577/0151844	58.854092526690394	338.28	361.15
AF2-LIG	Comgenex CGX-0740668	54.13950177935943	371.27	396.2
AF2-LIG	Asinex ASN 06745065	82.08683274021352	276.22	296.17
AF2-LIG	Life Chemicals F0497-0082	84.64982206405693	382.27	405.18
AF2-LIG	InnovaPharm STT-00192300	63.838434163701066	332.23	355.18
AF2-LIG	Tripos 1534-05651	53.537366548042705	380.37	402.11
AF2-LIG	Chembridge 5859646	84.7017793594306	320.22	344.17
AF2-LIG	Specs AK-968/37053096	77.40071174377225	341.25	354.08
AF2-LIG	InterBioScreen STOCK3S-07953	55.57864768683274	308.21	324.12
AF2-LIG	Maybridge RJF 01152	71.04199288256228	289.64	305.09
AF2-LIG	Tripos 1518-03381	61.02562277580071	377.77	400.12
AF2-LIG	Specs AG-205/07903010	58.22562277580071	341.21	353.08
AF2-LIG	Asinex ASN 04479736	63.30818505338078	378.31	401.15
AF2-LIG	Asinex ASN 05110337	58.68256227758007	415.27	434.13
AF2-LIG	Chem T&I AMCLME-05084	61.45266903914591	284.19	307.17
AF2-LIG	Bionet 10W-0283	59.992170818505336	280.22	296.08
AF2-LIG	ASDI 100018405	55.71672597864769	285.67	297.02
PDB-PD	Enamine T0505-3993	75.55491570110317	355.29	370.08
PDB-PD	Chem T&I AMSACS-17229	60.754457781169776	322.31	335.04
PDB-PD	Chemical Block A3692/0156694	68.55241795601194	324.22	340.14
PDB-PD	Life Chemicals F0778-0231	59.61673489211129	408.31	426.1
PDB-PD	Princeton Biomolecular OSSK_459353	86.30715326441407	339.21	355.1
PDB-PD	Toslab 44086	57.33691806008465	286.23	314.23
PDB-PD	Specs AM-900/15051004	70.13578019843197	348.28	378.25
PDB-PD	Life Chemicals F2584-0097	60.9780059668355	352.29	372.11
PDB-PD	Asinex ASN 06235439	68.50953999861237	354.26	381.21
PDB-PD	Specs AA-504/36954121	66.94726982585166	374.32	391.1
PDB-PD	Specs AP-866/42442546	65.30201901061541	379.3	393.03
PDB-PD	EMC Microcollections 009B3204	75.72538680358011	356.26	379.18
