ProSPECCTs Dataset	Compound library	Cosine distance	Sensitivity	Specificity	Precision	Accuracy	MCC	F1 Score
P1	LLM_128	0.09156409278442063	0.26895011169024574	1.0	1.0	0.9076179005608039	0.4931833121439876	0.4238939091655909
P1	LLM_128	0.09522665649579745	0.29292628443782576	1.0	1.0	0.9106477473747601	0.5155061141830255	0.45312140059894035
P1	LLM_128	0.09888922020717426	0.31913626209977664	1.0	1.0	0.9139598780533704	0.5390026249455239	0.48385640099345223
P1	LLM_128	0.10255178391855109	0.34758004467609827	1.0	1.0	0.9175542925966351	0.5635663642950816	0.5158581058680517
P1	LLM_128	0.10621434762992792	0.37453462397617276	1.0	1.0	0.920960517896797	0.5860553678917653	0.5449620801733478
P1	LLM_128	0.10987691134130474	0.39985107967237526	0.999978458953536	0.9996276991809382	0.9241409161052354	0.6064182849802507	0.5712158281033932
P1	LLM_128	0.11353947505268157	0.4242740134028295	0.999978458953536	0.9996491228070176	0.9272272196921224	0.6256902388700439	0.5957135389440669
P1	LLM_128	0.1172020387640584	0.4503350707371556	0.9998492126747517	0.9976905311778291	0.9304076179005608	0.6449674092144249	0.6205622819618305
P1	LLM_128	0.12086460247543522	0.4758004467609829	0.9996984253495035	0.9956372701776254	0.9334939214874478	0.6632508395302494	0.6438935912938332
P1	LLM_128	0.12452716618681205	0.5017125837676842	0.9994830148848631	0.9929266136162688	0.9365802250743348	0.6811303165854534	0.6666007123070835
P1	LLM_128	0.12818972989818886	0.530156366344006	0.9989875708161903	0.986969780981425	0.9397418043584629	0.698959182749879	0.6897888006200349
P1	LLM_128	0.13185229360956569	0.5566641846612063	0.9983844215151972	0.980330448465775	0.9425646430050059	0.7145846395887147	0.7101063829787234
P1	LLM_128	0.1355148573209425	0.5821295606850335	0.9977812722142042	0.9743270189431705	0.9452557491813768	0.7293141961212992	0.7288151393679501
P1	LLM_128	0.13917742103231934	0.6078927773641102	0.997156581866747	0.9686758424299953	0.947965674282058	0.7439986897400381	0.7470033854881508
P1	LLM_128	0.14283998474369616	0.6329113924050633	0.9961441526829373	0.9595845563332581	0.9502427641236026	0.7561729851647724	0.7627422828427853
P1	LLM_128	0.146502548455073	0.6585256887565153	0.9955194623354803	0.9550755939524838	0.9529338702999737	0.7705488206262917	0.7795504627589246
P1	LLM_128	0.15016511216644982	0.6827997021593447	0.9947870667557029	0.9498653407913819	0.9553615115360006	0.7834167698013994	0.7944896898284526
P1	LLM_128	0.15382767587782664	0.705584512285927	0.994226999547638	0.9464642429085098	0.9577515149234069	0.795991289708007	0.8084634416858629
P1	LLM_128	0.15749023958920347	0.7252419955323902	0.993602309200181	0.9425198374298432	0.9596898641273665	0.8061499461668589	0.8197273186332267
P1	LLM_128	0.1611528033005803	0.7456440804169769	0.9922667643194106	0.9330972791651136	0.9611012834506379	0.8137321158508394	0.8289048919791407
P1	LLM_128	0.16481536701195712	0.7636634400595681	0.9908019731598561	0.9231323132313232	0.9620986864390831	0.8193340496110902	0.8358598207008965
P1	LLM_128	0.16847793072333395	0.779746835443038	0.9889279021174848	0.910608695652174	0.9624938838495991	0.8221746947815797	0.8401123144805456
P1	LLM_128	0.17214049443471077	0.7930007446016382	0.9860414018913038	0.891511803114013	0.9616470322556363	0.8194913745214086	0.83937578814628
