Pocket Set	Outlier molecules	Proportion of PocketVec descriptors with <=N outlier molecules
PDB-PD	126	0.9997224727676404
PDB-PD	127	1.0
AF2-LIG	0	0.8683274021352313
AF2-LIG	1	0.8932384341637011
AF2-LIG	2	0.9039145907473309
AF2-LIG	3	0.9110320284697508
AF2-LIG	4	0.9145907473309609
AF2-LIG	5	0.9188612099644128
AF2-LIG	6	0.9231316725978648
AF2-LIG	7	0.9245551601423487
AF2-LIG	8	0.9274021352313168
AF2-LIG	9	0.9274021352313168
AF2-LIG	10	0.9316725978647686
AF2-LIG	11	0.9316725978647686
AF2-LIG	12	0.9323843416370107
AF2-LIG	13	0.9338078291814946
AF2-LIG	14	0.9352313167259787
AF2-LIG	15	0.9352313167259787
AF2-LIG	16	0.9373665480427046
AF2-LIG	17	0.9416370106761566
AF2-LIG	18	0.9423487544483986
AF2-LIG	19	0.9437722419928826
AF2-LIG	20	0.9451957295373665
AF2-LIG	21	0.9459074733096086
AF2-LIG	22	0.9459074733096086
AF2-LIG	23	0.9466192170818505
AF2-LIG	24	0.9480427046263346
AF2-LIG	25	0.9494661921708185
AF2-LIG	26	0.9501779359430605
AF2-LIG	27	0.9501779359430605
AF2-LIG	28	0.9501779359430605
AF2-LIG	29	0.9523131672597864
AF2-LIG	30	0.9537366548042705
AF2-LIG	31	0.9551601423487545
AF2-LIG	32	0.9551601423487545
AF2-LIG	33	0.9558718861209965
AF2-LIG	34	0.9565836298932384
AF2-LIG	35	0.9587188612099644
AF2-LIG	36	0.9587188612099644
AF2-LIG	37	0.9594306049822064
AF2-LIG	38	0.9601423487544484
AF2-LIG	39	0.9615658362989323
AF2-LIG	40	0.9615658362989323
AF2-LIG	41	0.9622775800711744
AF2-LIG	42	0.9629893238434164
AF2-LIG	43	0.9644128113879004
AF2-LIG	44	0.9651245551601424
AF2-LIG	45	0.9665480427046264
AF2-LIG	46	0.9665480427046264
AF2-LIG	47	0.9672597864768683
AF2-LIG	48	0.9672597864768683
AF2-LIG	49	0.9693950177935943
AF2-LIG	50	0.9708185053380783
AF2-LIG	51	0.9722419928825623
AF2-LIG	52	0.9729537366548042
