Name	SMILES	InChI	InChIKey	Molecular Weight
Schrodinger_fragment_206_b	[O-]c1ccncn1	InChI=1S/C4H4N2O/c7-4-1-2-5-3-6-4/h1-3H,(H,5,6,7)/p-1	DNCYBUMDUBHIJZ-UHFFFAOYSA-M	95.08099999999999
Schrodinger_fragment_402	CN1C[C@H]2N(C)CCC[N@H+]2CC1=O	InChI=1S/C9H17N3O/c1-10-4-3-5-12-7-9(13)11(2)6-8(10)12/h8H,3-7H2,1-2H3/p+1/t8-/m0/s1	JOCPCMZUIOZPLT-QMMMGPOBSA-O	184.263
Schrodinger_fragment_422	Cn1ccc2c(=O)n(C)c(=O)n(C)c2c1=O	InChI=1S/C10H11N3O3/c1-11-5-4-6-7(9(11)15)12(2)10(16)13(3)8(6)14/h4-5H,1-3H3	KXJMYXGELFCHRV-UHFFFAOYSA-N	221.21599999999995
Schrodinger_fragment_396	CN1CCC[N@H+]2CC(=O)NC[C@@H]12	InChI=1S/C8H15N3O/c1-10-3-2-4-11-6-7(12)9-5-8(10)11/h8H,2-6H2,1H3,(H,9,12)/p+1/t8-/m0/s1	VXCAQXFQANYBOR-QMMMGPOBSA-O	170.23600000000002
Schrodinger_fragment_394_a	CN1CCC[N@@H+]2CC(=O)NC[C@@H]12	InChI=1S/C8H15N3O/c1-10-3-2-4-11-6-7(12)9-5-8(10)11/h8H,2-6H2,1H3,(H,9,12)/p+1/t8-/m0/s1	VXCAQXFQANYBOR-QMMMGPOBSA-O	170.23600000000002
Schrodinger_fragment_140_b	c1ncc2[n-]cnc2n1	InChI=1S/C5H3N4/c1-4-5(8-2-6-1)9-3-7-4/h1-3H/q-1	GQLGYTHYAFYTHK-UHFFFAOYSA-N	119.107
Schrodinger_fragment_223_a	O=C1CC([O-])=NCN1	InChI=1S/C4H6N2O2/c7-3-1-4(8)6-2-5-3/h1-2H2,(H,5,7)(H,6,8)/p-1	NDIYBOBXJSFBHO-UHFFFAOYSA-M	113.09599999999999
Schrodinger_fragment_66_a	C1C[NH2+]CC[NH2+]1	InChI=1S/C4H10N2/c1-2-6-4-3-5-1/h5-6H,1-4H2/p+2	GLUUGHFHXGJENI-UHFFFAOYSA-P	88.154
Schrodinger_fragment_92	c1cnon1	InChI=1S/C2H2N2O/c1-2-4-5-3-1/h1-2H	JKFAIQOWCVVSKC-UHFFFAOYSA-N	70.051
Schrodinger_fragment_67	CN1CC[NH2+]CC1	InChI=1S/C5H12N2/c1-7-4-2-6-3-5-7/h6H,2-5H2,1H3/p+1	PVOAHINGSUIXLS-UHFFFAOYSA-O	101.17299999999999
Schrodinger_fragment_213_a	O=c1cc[nH]c(=O)[n-]1	InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)/p-1	ISAKRJDGNUQOIC-UHFFFAOYSA-M	111.07999999999998
Schrodinger_fragment_398	C[N@@H+]1CCCN2CC(=O)NC[C@H]21	InChI=1S/C8H15N3O/c1-10-3-2-4-11-6-7(12)9-5-8(10)11/h8H,2-6H2,1H3,(H,9,12)/p+1/t8-/m0/s1	VXCAQXFQANYBOR-QMMMGPOBSA-O	170.23600000000002
Schrodinger_fragment_370	Cn1c(=O)c(=O)n(C)c2ccccc21	InChI=1S/C10H10N2O2/c1-11-7-5-3-4-6-8(7)12(2)10(14)9(11)13/h3-6H,1-2H3	MXWJILNOXSNALO-UHFFFAOYSA-N	190.202
Schrodinger_fragment_293	CN1C(=O)NC2(CC[NH+](C)CC2)C1=O	InChI=1S/C9H15N3O2/c1-11-5-3-9(4-6-11)7(13)12(2)8(14)10-9/h3-6H2,1-2H3,(H,10,14)/p+1	UEKVEPQDQOYBHB-UHFFFAOYSA-O	198.246
