Name	SMILES	InChI	InChIKey	Molecular Weight
Schrodinger_fragment_50_a	N=C([O-])c1ccccc1	InChI=1S/C7H7NO/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H2,8,9)/p-1	KXDAEFPNCMNJSK-UHFFFAOYSA-M	120.13099999999999
Schrodinger_fragment_51	CS(=O)(=O)c1ccccc1	InChI=1S/C7H8O2S/c1-10(8,9)7-5-3-2-4-6-7/h2-6H,1H3	JCDWETOKTFWTHA-UHFFFAOYSA-N	156.206
Schrodinger_fragment_52	NS(=O)(=O)c1ccccc1	InChI=1S/C6H7NO2S/c7-10(8,9)6-4-2-1-3-5-6/h1-5H,(H2,7,8,9)	KHBQMWCZKVMBLN-UHFFFAOYSA-N	157.19400000000002
Schrodinger_fragment_52_a	[NH-]S(=O)(=O)c1ccccc1	InChI=1S/C6H6NO2S/c7-10(8,9)6-4-2-1-3-5-6/h1-5H,(H-,7,8,9)/q-1	FSWYPKXSWMHLRG-UHFFFAOYSA-N	156.186
Schrodinger_fragment_53	Clc1ccccc1	InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H	MVPPADPHJFYWMZ-UHFFFAOYSA-N	112.559
Schrodinger_fragment_54	Clc1ccccc1Cl	InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H	RFFLAFLAYFXFSW-UHFFFAOYSA-N	147.004
Schrodinger_fragment_55	Clc1cccc(Cl)c1	InChI=1S/C6H4Cl2/c7-5-2-1-3-6(8)4-5/h1-4H	ZPQOPVIELGIULI-UHFFFAOYSA-N	147.004
Schrodinger_fragment_56	Clc1ccc(Cl)cc1	InChI=1S/C6H4Cl2/c7-5-1-2-6(8)4-3-5/h1-4H	OCJBOOLMMGQPQU-UHFFFAOYSA-N	147.00400000000002
Schrodinger_fragment_57	Cc1ccccc1	InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3	YXFVVABEGXRONW-UHFFFAOYSA-N	92.14099999999999
Schrodinger_fragment_58	Cc1ccccc1C	InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3	CTQNGGLPUBDAKN-UHFFFAOYSA-N	106.16799999999998
Schrodinger_fragment_59	Cc1cccc(C)c1	InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3	IVSZLXZYQVIEFR-UHFFFAOYSA-N	106.16799999999998
Schrodinger_fragment_60	Cc1ccc(C)cc1	InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3	URLKBWYHVLBVBO-UHFFFAOYSA-N	106.16799999999999
Schrodinger_fragment_61	CN1CCOCC1	InChI=1S/C5H11NO/c1-6-2-4-7-5-3-6/h2-5H2,1H3	SJRJJKPEHAURKC-UHFFFAOYSA-N	101.149
Schrodinger_fragment_61_a	C[NH+]1CCOCC1	InChI=1S/C5H11NO/c1-6-2-4-7-5-3-6/h2-5H2,1H3/p+1	SJRJJKPEHAURKC-UHFFFAOYSA-O	102.157
Schrodinger_fragment_62	C1CC[NH2+]CC1	InChI=1S/C5H11N/c1-2-4-6-5-3-1/h6H,1-5H2/p+1	NQRYJNQNLNOLGT-UHFFFAOYSA-O	86.15800000000002
Schrodinger_fragment_63	C[NH+]1CCCCC1	InChI=1S/C6H13N/c1-7-5-3-2-4-6-7/h2-6H2,1H3/p+1	PAMIQIKDUOTOBW-UHFFFAOYSA-O	100.185
Schrodinger_fragment_64	CC(=O)N1CCCCC1	InChI=1S/C7H13NO/c1-7(9)8-5-3-2-4-6-8/h2-6H2,1H3	KDISMIMTGUMORD-UHFFFAOYSA-N	127.187
Schrodinger_fragment_65	CS(=O)(=O)N1CCCCC1	InChI=1S/C6H13NO2S/c1-10(8,9)7-5-3-2-4-6-7/h2-6H2,1H3	JJWOMLRJNXMLSO-UHFFFAOYSA-N	163.242
Schrodinger_fragment_66	C1C[NH2+]CCN1	InChI=1S/C4H10N2/c1-2-6-4-3-5-1/h5-6H,1-4H2/p+1	GLUUGHFHXGJENI-UHFFFAOYSA-O	87.14599999999999
Schrodinger_fragment_66_a	C1C[NH2+]CC[NH2+]1	InChI=1S/C4H10N2/c1-2-6-4-3-5-1/h5-6H,1-4H2/p+2	GLUUGHFHXGJENI-UHFFFAOYSA-P	88.154
Schrodinger_fragment_67	CN1CC[NH2+]CC1	InChI=1S/C5H12N2/c1-7-4-2-6-3-5-7/h6H,2-5H2,1H3/p+1	PVOAHINGSUIXLS-UHFFFAOYSA-O	101.17299999999999
Schrodinger_fragment_67_a	C[NH+]1CCNCC1	InChI=1S/C5H12N2/c1-7-4-2-6-3-5-7/h6H,2-5H2,1H3/p+1	PVOAHINGSUIXLS-UHFFFAOYSA-O	101.17299999999999
Schrodinger_fragment_67_b	CN1CCNCC1	InChI=1S/C5H12N2/c1-7-4-2-6-3-5-7/h6H,2-5H2,1H3	PVOAHINGSUIXLS-UHFFFAOYSA-N	100.16499999999999
Schrodinger_fragment_68	CN1CC[NH+](C)CC1	InChI=1S/C6H14N2/c1-7-3-5-8(2)6-4-7/h3-6H2,1-2H3/p+1	RXYPXQSKLGGKOL-UHFFFAOYSA-O	115.19999999999999
Schrodinger_fragment_68_a	CN1CCN(C)CC1	InChI=1S/C6H14N2/c1-7-3-5-8(2)6-4-7/h3-6H2,1-2H3	RXYPXQSKLGGKOL-UHFFFAOYSA-N	114.192
Schrodinger_fragment_69	CC(=O)N1CC[NH2+]CC1	InChI=1S/C6H12N2O/c1-6(9)8-4-2-7-3-5-8/h7H,2-5H2,1H3/p+1	PKDPUENCROCRCH-UHFFFAOYSA-O	129.183
Schrodinger_fragment_69_a	CC(=O)N1CCNCC1	InChI=1S/C6H12N2O/c1-6(9)8-4-2-7-3-5-8/h7H,2-5H2,1H3	PKDPUENCROCRCH-UHFFFAOYSA-N	128.175
Schrodinger_fragment_70	CC(=O)N1CCN(C)CC1	InChI=1S/C7H14N2O/c1-7(10)9-5-3-8(2)4-6-9/h3-6H2,1-2H3	YSDBJKNOEWSFGA-UHFFFAOYSA-N	142.202
Schrodinger_fragment_70_a	CC(=O)N1CC[NH+](C)CC1	InChI=1S/C7H14N2O/c1-7(10)9-5-3-8(2)4-6-9/h3-6H2,1-2H3/p+1	YSDBJKNOEWSFGA-UHFFFAOYSA-O	143.21
Schrodinger_fragment_71	CS(=O)(=O)N1CCNCC1	InChI=1S/C5H12N2O2S/c1-10(8,9)7-4-2-6-3-5-7/h6H,2-5H2,1H3	ZZAKLGGGMWORRT-UHFFFAOYSA-N	164.23000000000002
